District Name,Number of children under 5,Count of Health Facilities,Names of Health Facilities,Count of Education Facilities,Names of Education Facilities,Severity Level
"Dhaka","2801366","4","","54","","Very High"
"Dhaka","2801366","1","","11","","Very High"
"Faridpur","699087","2","","6","","Very High"
"Faridpur","699087","1","","26","","Very High"
"Jamalpur","433063","1","","31","","Very High"
"Jamalpur","433063","1","","3","","Very High"
"Jamalpur","433063","1","","3","","Very High"
"Jamalpur","433063","0","","0","","Very High"
"Kushtia","366180","0","","0","","Very High"
"Mymensingh","989740","1","","0","","Very High"
"Jessore","620129","3","","9","","Very High"
"Jessore","620129","3","","0","","Very High"
"Jessore","620129","1","","0","","Very High"
"Jessore","620129","1","","2","","Very High"
"Jessore","620129","1","","0","","Very High"
"Jessore","620129","1","","8","","Very High"
"Jessore","620129","1","","0","","Very High"
"Khulna","495410","0","","9","","Very High"
"Kushtia","366180","1","","1","","Very High"
"Kushtia","366180","1","","1","","Very High"
"Kushtia","366180","0","","4","","Very High"
"Kushtia","366180","1","","1","","Very High"
"Kushtia","366180","1","","13","","Very High"
"Kushtia","366180","1","","1","","Very High"
"Bogra","433349","1","","4","","Very High"
"Bogra","433349","0","","8","","Very High"
"Bogra","433349","0","","0","","Very High"
"Bogra","433349","1","","8","","Very High"
"Bogra","433349","1","","0","","Very High"
"Bogra","433349","0","","1","","Very High"
"Pabna","683166","8","","6","","Very High"
"Pabna","683166","0","","1","","Very High"
"Pabna","683166","2","","1","","Very High"
"Pabna","683166","2","","0","","Very High"
"Pabna","683166","1","","0","","Very High"
"Pabna","683166","5","","36","","Very High"
"Pabna","683166","3","","1","","Very High"
"Pabna","683166","3","","29","","Very High"
"Pabna","683166","7","","8","","Very High"
"Pabna","683166","0","","0","","Very High"
"Pabna","683166","1","","16","","Very High"
"Pabna","683166","0","","0","","Very High"
"Pabna","683166","6","","20","","Very High"
"Pabna","683166","3","","3","","Very High"
"Pabna","683166","5","","11","","Very High"
"Pabna","683166","2","","6","","Very High"
"Pabna","683166","8","","16","","Very High"
"Rajshahi","851341","0","","1","","Very High"
"Rajshahi","851341","2","","10","","Very High"
"Rajshahi","851341","4","","13","","Very High"
